67,14,26,13,"1:25.802",85802
67,14,27,13,"1:25.338",85338
67,14,28,13,"1:25.395",85395
67,14,29,12,"1:26.191",86191
67,14,30,11,"1:25.439",85439
67,14,31,10,"1:25.375",85375
67,14,32,12,"1:28.219",88219
67,14,33,13,"1:49.156",109156
67,14,34,13,"1:25.128",85128
67,14,35,13,"1:25.351",85351
67,14,36,13,"1:26.417",86417
67,14,37,13,"1:25.519",85519
67,14,38,13,"1:26.385",86385
67,14,39,13,"1:25.299",85299
67,14,40,13,"1:25.266",85266
67,14,41,13,"1:25.232",85232
67,14,42,13,"1:25.392",85392
67,14,43,13,"1:26.130",86130
67,14,44,12,"1:25.576",85576
67,14,45,12,"1:26.304",86304
67,14,46,12,"1:26.831",86831
67,14,47,12,"1:26.035",86035
67,14,48,12,"1:26.612",86612
67,14,49,12,"1:25.428",85428
67,14,50,12,"1:25.139",85139
67,14,51,12,"1:24.984",84984
67,14,52,12,"1:25.552",85552
67,32,1,18,"1:37.796",97796
67,32,2,18,"1:28.623",88623
67,32,3,18,"1:27.487",87487
67,32,4,18,"1:27.486",87486
67,32,5,18,"1:26.993",86993
67,32,6,18,"1:26.800",86800
67,32,7,18,"1:26.273",86273
67,32,8,18,"1:25.825",85825
67,32,9,17,"1:26.090",86090
67,32,10,17,"1:25.782",85782
67,32,11,17,"1:25.866",85866
67,32,12,17,"1:25.916",85916
67,32,13,17,"1:25.632",85632
67,32,14,17,"1:26.131",86131
67,32,15,17,"1:26.342",86342
67,32,16,17,"1:25.328",85328
67,32,17,17,"1:25.564",85564
67,32,18,17,"1:26.010",86010
67,32,19,17,"1:25.440",85440
67,32,20,17,"1:25.343",85343
67,32,21,16,"1:25.663",85663
67,32,22,16,"1:25.594",85594
67,32,23,16,"1:25.124",85124
67,32,24,16,"1:25.145",85145
67,32,25,16,"1:25.065",85065
67,32,26,16,"1:25.468",85468
67,32,27,16,"1:25.620",85620
67,32,28,15,"1:24.903",84903
67,32,29,14,"1:25.556",85556
67,32,30,13,"1:26.633",86633
67,32,31,12,"1:24.914",84914
67,32,32,11,"1:24.851",84851
67,32,33,11,"1:24.999",84999
67,32,34,11,"1:25.149",85149
67,32,35,11,"1:28.871",88871
67,32,36,12,"1:47.744",107744
67,32,37,12,"1:24.571",84571
67,32,38,12,"1:24.830",84830
67,32,39,12,"1:24.767",84767
67,32,40,12,"1:24.734",84734
67,32,41,12,"1:25.784",85784
67,32,42,12,"1:24.646",84646
67,32,43,12,"1:25.864",85864
67,32,44,11,"1:29.018",89018
67,32,45,11,"1:25.336",85336
67,32,46,11,"1:25.157",85157
67,32,47,11,"1:25.190",85190
67,32,48,11,"1:25.479",85479
67,32,49,11,"1:25.410",85410
67,32,50,11,"1:25.730",85730
67,32,51,11,"1:25.676",85676
67,32,52,11,"1:25.758",85758
67,2,1,6,"1:32.388",92388
67,2,2,7,"1:27.180",87180
